User,Bot
they say he has started fifteen big fires.,he's been in jail three times already.
when is he coming?,he's busy. he said next week.
they say he's going 80 miles per hour.,he's going to kill someone.
obama's got four years to make everyone happy.,he's never going to make everyone happy.
what do you mean?,"he's old enough to be my father, yet he asked me out."
what makes him so bad?,he's rude and he yells a lot.
who in the world is ralph nader?,he's the best man for president.
"well, they do put their party before their country.",he's the only candidate that i trust.
but he's supposed to be making our city a better place.,he's visiting other cities to get ideas.
i'm going to be a teacher.,high school or middle school?
high school or middle school?,high school.
how can he still be alive?,his doctor says his heart and lungs are strong and healthy.
did the cops find out why he flew into the u.s.?,his life sucked. he was hoping a fighter jet would shoot him down.
really?,his nails were black!
sure. here you go.,"hmm, that's not bad."
because food and other stuff sticks in my beard.,hmm. here's an idea. put cream on your face and have the cat lick it off.
i think about twenty-five.,hmm. i have only one best friend.
it's so tight that it's hard for me to breathe.,hold your breath till we get there.
is that right? why?,"honestly, it is one of the funniest movies i've seen in a long time."
"i will chop your toes off, one by one.","honey, please. you're the only woman for me, forever. i swear it."
it seems that it may rain today.,hopefully it will.
all night long we heard people snoring.,housekeeping didn't give us fresh towels.
what a great song.,"how about ""let it be?"""
no. the teacher doesn't permit calculators.,how about a dictionary?
is there somewhere special you wanted to go?,how about a movie?
i'm not sure.,how about a pizza?
"yes. we need to think green, save water, and stop using plastic bags.",how about if i take shorter showers?
"yes, that sounds nice.",how about some potato chips?
"no, it's too close to the kitchen door.",how about this table?
i'm not quite sure yet.,how about you see a movie with me and my friend?
i'm trying to stretch my dollars.,how are you doing that?
i need to withdraw some money.,how are you going to do that?
"yes, with the voter instructions.",how are you going to vote?
it's pretty big.,"how big is ""pretty big""?"
"it has about 140,000 people.",how big is los angeles?
last year we made a big snowman.,how big was it?
"cigarettes, of course.",how can he do that?
"he can, but the people around him can't.",how can he still be alive?
prove it.,how can i prove it?
what's the point?,how can it be fun?
hopefully it will.,how come?
i just really don't want to go.,how come?
i love most how it is at night after it rains.,how come?
"yes, rained out.",how could that be?
the one that tiger won?,how did he do it?
it's so nice to have a heated apartment.,how did they survive in the old days?
they added phony charges to our bill.,how did we end up in that terrible hotel?
i cut my finger.,how did you do that?
i got a dent in the parking lot.,how did you get it?
"yes, i do.",how did you get it?
i used to work in a deli.,how did you like it?
i was there when i was a kid.,how did you like it?
people will tell you if they have a good hand.,how do they do that?
because you'll have an accident. most accidents are because people are in a hurry.,how do you know that?
no.,how do you know?
she would laugh at me.,how do you know?
the police need our help finding a robber.,how do you know?
your daddy was a good little boy.,"how do you know? were you his mommy, too?"
i'm going to pcc.,how do you like it so far?
i started teaching five years ago.,how do you like it?
and it's just as easy to prepare.,how do you prepare the potatoes?
all you have to do is vote and put a stamp on it.,how easy is that?
i know a good chinese restaurant.,how far away is it?
we'll stop at the next mcdonald's.,how far away is that?
i can't believe he hasn't crashed.,how fast is he going?
"boy, i'm glad that job is finished.",how long did it take?
it was seven feet tall.,how long did it take?
i do it every once in a while.,how long have you known how to do that?
about 90 of us world war ii veterans got on the plane at 8 a.m.,how long was the flight?
spanish is easy. i'll be happy to teach you.,how long will it take me to learn?
look at all these kittens!,how many are there?
of course. i have lots of best friends.,how many best friends do you have?
one or two tires were cut on each car.,how many cars?
"he promised to hire 1,000 more police officers.",how many did he hire?
it's supposed to start at about eight.,how many invitations has she given out?
rich people think they're better than us.,how many rich people do you know?
they were in the student parking lot.,how many tires were cut?
it's a great price. but you have to dial a lot of numbers.,how many?
"yes, but only the cheap tickets.",how much are they?
it was on sale.,how much did you buy?
that's why we need to save money.,how much do we need to save?
i'm gaining weight.,how much have you gained?
i buy it at the dollar store.,how much is it?
so do i.,how much is it?
we need to save enough for a down payment.,how much is that?
i need a cheap car.,how much money do you have?
no. movie stars give him money to give to homeless people.,how much money does he give away?
"no, i don't need a converter because i bought a digital tv.",how much was that?
they're very comfortable.,how much were they?
remember to put air in your tires.,how often do i have to do that?
